語句,読み,意味,語源等解説,関連語,関連分野,難易度
early,アー́リー,早い・初期の,"古英語 ""ǣr""(前)が語源。派生: earliest(アー́リエスト): 最初の / early bird(アー́リーバード): 早起きの人","soon(スー́ン): すぐに, late(レ́イト): 遅い",人・社会,beginner
earn,Earn,稼ぐ,,,人・社会,intermediate
earth,アー́ス,地球・土,"古英語 ""eor(th)e""。派生: earthquake(アー́スクウェイク): 地震 / earthly(アー́スリ): この世の","world(ワ́ールド): 世界, soil(ソ́イル): 土",自然・環境,beginner
earthquake,Earthquake,地震,,,人・社会,intermediate
easily,Easily,簡単に,,,人・社会,intermediate
east,イー́スト,東,"古英語 ""ēast""。派生: eastern(イー́スタン): 東方の / the East(ジイー́スト): 東洋","west(ウェ́スト): 西, sunrise(サ́ンライズ): 日の出",人・社会,beginner
easy,イー́ジー,簡単な・気楽な,古仏語。派生: easily(イー́ズィリ): たやすく / take it easy(テ́イクイッティー́ジー): 気楽に,"simple(シ́ンプル): 単純な, difficult(ディ́フィカルト): 難しい",人・社会,beginner
education,エデュケ́イション,教育,"ラテン語 ""educere""(引き出す)。派生: educate(エデュ́ケイト): 教育する / educator(エデュ́ケイター): 教育者","school(スク́ール): 学校, learning(ラ́ーニング): 学習",学校・学習,beginner
effect,イフェ́クト,効果・影響,"ラテン語 ""efficere""(成し遂げる)。派生: effective(イフェ́クティヴ): 効果的な / side effect(サ́イドイフェ́クト): 副作用","result(リザ́ルト): 結果, affect(アフェ́クト): 影響を与える",自然・環境,beginner
effective,Effective,効果的な,,,人・社会,intermediate
effort,エ́フォート,努力,"古仏語 ""esforz""。派生: effortless(エ́フォートレス): 骨の折れない / make an effort(メ́イクアンエ́フォート): 努力する","try(トラ́イ): 試みる, attempt(アテ́ンプト): 試み",人・社会,beginner
egg,Egg,卵,,,食・健康,intermediate
eight,エ́イト,8,"古英語 ""eahta""。派生: eighteen(エイティ́ーン): 18 / eighth(エ́イス): 8番目","seven(セ́ヴン): 7, nine(ナ́イン): 9、seven(セヴン): 7, nine(ナイン): 9, eighty(エイティ): 80",人・社会,beginner
eighteen,Eighteen,18,,,人・社会,intermediate
eighth,Eighth,8番目の,,,時間・数量,intermediate
eighty,Eighty,80,,,人・社会,intermediate
either,イー́ザー,どちらか,"古英語 ""ǣgther""。派生: either A or B(イー́ザーエ́ーオアビ́ー): AかBか / either way(イー́ザウェイ): どちらにせよ","both(ボ́ース): 両方, neither(ニー́ザー): どちらも〜ない",言語基本,beginner
elderly,Elderly,年配の,,,時間・数量,intermediate
electricity,Electricity,電気,,,科学・技術,intermediate
electronic,Electronic,電子の,,,人・社会,intermediate
elementary,Elementary,初等の,,,人・社会,intermediate
elephant,Elephant,象,,,自然・環境,intermediate
eleven,イレ́ヴン,11,"古英語 ""endleofan""。派生: eleventh(イレ́ヴンス): 11番目 / eleven plus(イレ́ヴンプラス): 11歳選抜試験(英)","ten(テ́ン): 10, twelve(トゥエ́ルヴ): 12",人・社会,beginner
eleventh,Eleventh,11番目の,,,時間・数量,intermediate
else,エ́ルス,ほかの,"古英語 ""elles""。派生: else where(エ́ルスウェア): どこかほかで / else if(エ́ルスイフ): それ以外なら(プログラミング)","other(ア́ザー): 他の, another(アナ́ザー): もう一つの",人・社会,beginner
emergency,Emergency,緊急の,,,人・社会,intermediate
employee,エンプロイ́イー,従業員,フランス語。派生: employ(エンプロ́イ): 雇う / unemployment(アンエンプロ́イメント): 失業,"worker(ワ́ーカー): 労働者, staff(スタ́フ): 職員",人・社会,beginner
empty,Empty,空の,,,自然・環境,intermediate
encourage,Encourage,励ます,,,人・社会,intermediate
end,エン́ド,終わり・終える,"古英語 ""end""。派生: ending(エ́ンディング): 終わり / endless(エ́ンドレス): 終わりのない","finish(フィ́ニッシュ): 終える, begin(ビギ́ン): 始める",人・社会,beginner
endangered,Endangered,絶滅危惧の,,,食・健康,intermediate
ending,Ending,結末、終わり,,,食・健康,intermediate
energy,Energy,エネルギー,,,科学・技術,intermediate
engineer,エンジニ́ア,技師・工学者,"ラテン語 ""ingenium""(才能)。派生: engineering(エンジニ́アリング): 工学 / social engineer(ソーシャルエンジニ́ア): 社会工学","technician(テクニシ́ャン): 技術者, scientist(サイエ́ンティスト): 科学者",学校・学習,beginner
English,English,英語,,,学校・学習,intermediate
enjoy,エンジョ́イ,楽しむ,古仏語。派生: enjoyable(エンジョ́イアブル): 楽しい / enjoy oneself(エンジョ́イワンセルフ): 楽しむ,"like(ラ́イク): 好む, fun(フ́ァン): 楽しさ",人・社会,beginner
enough,イナ́フ,十分な,"古英語 ""genōg""。派生: enough to〜(イナ́フトゥ): 〜するのに十分 / good enough(グッ́ドイナ́フ): まあ良い","sufficient(サフィ́シェント): 十分な, plenty(プレ́ンティ): たくさん",時間・数量,beginner
enter,エ́ンター,入る・入力する,"ラテン語 ""intrare""。派生: entrance(エ́ントランス): 入口 / enter key(エ́ンターキー): エンターキー","come in(カ́ムイ́ン): 入る, input(イ́ンプット): 入力",科学・技術,beginner
environment,インヴァ́イロメント,環境,"フランス語 ""environ""(周囲)。派生: environmental(インヴァイロンメ́ンタル): 環境の / environment-friendly(インヴァ́イロメントフレンドリー): 環境に優しい","nature(ネ́イチャー): 自然, pollution(ポル́ーション): 汚染",自然・環境,beginner
eraser,Eraser,erasする人,,,人・社会,intermediate
especially,エスペ́シャリ,特に,"ラテン語 ""species""(種類)。派生: especial(エスペ́シャル): 特別な / specialist(スペ́シャリスト): 専門家(同根)","particularly(パティ́キュラリ): 特に, mainly(メ́インリ): 主に",人・社会,beginner
establish,Establish,確立する,,,人・社会,intermediate
European,European,ヨーロッパの,,,場所・移動,intermediate
evacuation,Evacuation,evacuationすること,,,人・社会,intermediate
even,Even,均等な,,,言語基本,intermediate
evening,イ́ーヴニング,夕方・晩,"古英語 ""æfnung""(夕方になる)。派生: this evening(ジスイーヴニング): 今晩","morning(モーニング): 朝, afternoon(アフタヌーン): 午後, night(ナイト): 夜",時間・数量,beginner
event,イヴェ́ント,出来事,"ラテン語 ""evenire""(外へ出る→起こる)。派生: eventual(イヴェンチュ́アル): 結果としての / eventually(イヴェンチュ́アリ): 結局は","happen(ハ́ペン): 起こる, occasion(オケ́イジョン): 場合",人・社会,beginner
ever,エ́ヴァー,いつか・これまで,"古英語 ""æfre""。派生: forever(フォレ́ヴァー): 永遠に / ever since(エ́ヴァーシンス): それ以来ずっと","always(オ́ールウェイズ): いつも, never(ネ́ヴァー): 決して〜ない",人・社会,beginner
every,エ́ヴリ,すべての,"古英語 ""ǣfre ǣlc"" の縮約。派生: everybody(エ́ヴリバディ): みんな / everything(エ́ヴリシング): すべてのこと","all(オ́ール): 全ての, each(イ́ーチ): 各々の",言語基本,beginner
everybody,Everybody,皆,,,人・社会,intermediate
everyone,Everyone,皆,,,人・社会,intermediate
everything,Everything,すべて,,,人・社会,intermediate
everywhere,Everywhere,どこでも,,,場所・移動,intermediate
exactly,Exactly,正確に,,,人・社会,intermediate
exam,Exam,試験,,,学校・学習,intermediate
example,イグザ́ンプル,例,"ラテン語 ""exemplum""。派生: exemplary(イグゼ́ンプロリ): 模範的な / exemplify(イグゼ́ンプリファイ): 例示する","case(ケ́イス): 事例, sample(サ́ンプル): 見本",人・社会,beginner
excellent,エ́クセレント,優れた,"ラテン語 ""excellere""(突出する)。派生: excellence(エ́クセレンス): 優秀さ / excel(エクセ́ル): 優れる","great(グレ́イト): すばらしい, good(グッ́ド): 良い",人・社会,beginner
exception,Exception,exceptionすること,,,人・社会,intermediate
exchange,エクスチェ́インジ,交換する・為替,"ラテン語 ""cambiare""。派生: exchanger(エクスチェ́インジャー): 交換器 / foreign exchange(フォ́リンエクスチェ́インジ): 外国為替","trade(トレ́イド): 取引, swap(スワ́ップ): 交換する",人・社会,beginner
excited,Excited,興奮した、わくわくした,,,食・健康,intermediate
exciting,Exciting,興奮する,,,人・社会,intermediate
excuse,Excuse,言い訳、許す,,,食・健康,intermediate
exercise,エ́クササイズ,運動・練習,"ラテン語 ""exercere""(鍛える)。派生: exercising(エ́クササイズィング): 運動すること / exercise book(エ́クササイズブック): 練習帳","practice(プラ́クティス): 練習, training(トレ́イニング): 訓練",学校・学習,beginner
expensive,Expensive,高価な,,,人・社会,intermediate
experience,イクスピ́アリアンス,経験,"ラテン語 ""experiri""(試す)。派生: experienced(イクスピ́アリエンスト): 経験豊かな / experiment(イクスペ́リメント): 実験(同根)","try(トラ́イ): 試みる, knowledge(ノ́リッジ): 知識",人・社会,beginner
explain,イクスプレ́イン,説明する,"ラテン語 ""explanare""(平らにする→明らかにする)。派生: explanation(エクスプラネ́イション): 説明 / explanatory(イクスプラ́ナトリ): 説明的な","describe(ディスクライ́ブ): 描写する, clarify(クレ́リファイ): 明確にする",時間・数量,beginner
express,Express,表現する,,,人・社会,intermediate
expression,Expression,expressionすること,,,人・社会,intermediate
eye,ア́イ,目,"古英語 ""eage""。派生: eyelid(ア́イリッド): まぶた / eyesight(ア́イサイト): 視力","see(シ́ー): 見る, look(ル́ック): 見る",食・健康,beginner
face,フ́ェイス,顔・向く,"ラテン語 ""facies""。派生: facial(フ́ェイシャル): 顔の / surface(サ́ーフィス): 表面(同根)","head(ヘ́ッド): 頭, front(フロ́ント): 前面",食・健康,beginner
fact,フ́ァクト,事実,"ラテン語 ""factum""(なされたこと)。派生: factual(フ́ァクチュアル): 事実に基づく / factor(フ́ァクター): 要因(同根)","truth(トゥル́ース): 真実, reality(リアリ́ティ): 現実",自然・環境,beginner
factory,Factory,工場,,,食・健康,intermediate
fall,フ́ォール,落ちる・秋,"古英語 ""feallan""。派生: waterfall(ウォー́タフォール): 滝 / fall down(フ́ォールダ́ウン): 倒れる","drop(ドロ́ップ): 落とす, autumn(オ́ータム): 秋",自然・環境,beginner
family,フ́ァミリー,家族,"ラテン語 ""familia""。派生: familiar(ファミ́リア): よく知られた / familiarise(ファミ́リアライズ): 慣れさせる","relative(レ́ラティヴ): 親戚, home(ホ́ウム): 家",場所・移動,beginner
famous,フ́ェイマス,有名な,"ラテン語 ""fama""(評判)。派生: fame(フ́ェイム): 名声 / infamous(イ́ンフェイマス): 悪名高い","popular(ポ́ピュラー): 人気の, well-known(ウェ́ルノウン): 有名な",人・社会,beginner
fan,Fan,ファン、扇風機,,,食・健康,intermediate
fantastic,Fantastic,素晴らしい,,,食・健康,intermediate
far,フ́ァー,遠い,"古英語 ""feor""。派生: farther(フ́ァーザー): より遠い / farthest(フ́ァーゼスト): 最も遠い","near(ニ́ア): 近い, distant(ディ́スタント): 遠い",人・社会,beginner
farm,フ́ァーム,農場,"ラテン語 ""firma""(契約)→農地賃貸。派生: farmer(フ́ァーマー): 農家 / farming(フ́ァーミング): 農業","field(フィ́ールド): 畑, crop(ク́ロップ): 作物",場所・移動,beginner
farmer,フ́ァーマー,農家・農民,"farm(農場) + -er。派生: farmhouse(ファームハウス): 農家 / farm worker(ファームワーカー): 農場労働者","agriculture(ア́グリカルチャー): 農業, peasant(ペ́ザント): 小作農",人・社会,intermediate
fast,フ́ァスト,速い・断食する,"古英語 ""fæst""(堅い)とも関連。派生: fasten(フ́ァスン): 固定する / breakfast(ブ́レックファスト): 朝食(断食を破る)","quick(クイ́ック): 速い, rapid(ラ́ピド): 迅速な",食・健康,beginner
fat,フ́ァット,太った・脂肪,"古英語 ""fǣtt""。派生: fatty(フ́ァティ): 脂っこい / fatten(フ́ァトゥン): 太らせる","thin(スィン): 痩せた, oil(オ́イル): 油",食・健康,beginner
father,フ́ァーザー,父,"古英語 ""fæder""。派生: fatherly(フ́ァーザリ): 父親らしい / forefather(フ́ォーファーザー): 祖先","dad(ダ́ッド): お父さん, parent(ペ́アレント): 親",人・社会,beginner
favorite,Favorite,お気に入りの,,,人・社会,intermediate
feather,Feather,feathする人,,,人・社会,intermediate
feature,Feature,特徴とする,,,人・社会,intermediate
February,February,2月,,,時間・数量,intermediate
fee,Fee,料金,,,食・健康,intermediate
feed,Feed,食べ物を与える,,,食・健康,intermediate
feel,フ́ィール,感じる,"古英語 ""fēlan""。派生: feeling(フ́ィーリング): 感情 / feel like〜(フ́ィールライク): 〜したい気分","sense(セ́ンス): 感じる, touch(タ́ッチ): 触れる",人・社会,beginner
feeling,Feeling,感情、気持ち,,,食・健康,intermediate
fence,Fence,フェンス、柵,,,食・健康,intermediate
festival,Festival,祭り,,,食・健康,intermediate
fever,Fever,fevする人,,,人・社会,intermediate
few,フ́ュー,少しの,"古英語 ""fēawe""。派生: fewer(フ́ューア): より少ない / a few(アフ́ュー): いくつかの","little(リ́トル): 少しの, some(サ́ム): いくつか",人・社会,beginner
fiction,Fiction,fictionすること,,,人・社会,intermediate
field,フィ́ールド,畑・分野,"古英語 ""feld""。派生: field trip(フ́ィールドトリップ): 校外学習 / fieldwork(フ́ィールドワーク): 野外調査","farm(フ́ァーム): 農場, area(エ́リア): 領域",時間・数量,beginner
fifteen,Fifteen,15,,,食・健康,intermediate
fifth,Fifth,5番目の,,,食・健康,intermediate
fifty,Fifty,50,,,食・健康,intermediate
fight,フ́ァイト,戦う,"古英語 ""feohtan""。派生: fighter(フ́ァイター): 戦う人 / fight back(フ́ァイトバ́ック): 反撃する","battle(バ́トル): 戦い, argue(ア́ーギュー): 口論する",人・社会,beginner
figure,フ́ィガー,数字・人物像,"ラテン語 ""figura""。派生: figurative(フ́ィギュラティヴ): 比喩の / configure(コンフ́ィギュア): 構成する(同根)","number(ナ́ンバー): 数字, shape(シ́ェイプ): 形",時間・数量,beginner
file,File,ファイル、書類,,,食・健康,intermediate
fill,フ́ィル,満たす,"古英語 ""fyllan""。派生: filler(フ́ィラー): 詰め物 / refill(リフィ́ル): 再び満たす","pour(ポ́ア): 注ぐ, full(フ́ル): いっぱいの",人・社会,beginner
final,フ́ァイナル,最後の・決勝,"ラテン語 ""finis""(終わり)。派生: finally(フ́ァイナリ): ついに / finalize(フ́ァイナライズ): 最終決定する","last(ラ́スト): 最後の, end(エン́ド): 終わり",時間・数量,beginner
finally,Finally,最後に,,,時間・数量,intermediate
find,フ́ァインド,見つける,"古英語 ""findan""。派生: finder(フ́ァインダー): 見つける人 / find out(フ́ァインドア́ウト): 突き止める","discover(ディスカ́ヴァー): 発見する, locate(ロ́ウケイト): 見つける",人・社会,beginner
fine,フ́ァイン,良い・罰金,"ラテン語 ""finis"" 由来(精妙/終わり)。派生: finely(フ́ァインリ): 細かく / refine(リファ́イン): 洗練する","good(グッ́ド): 良い, penalty(ペ́ナルティ): 罰金",人・社会,beginner
finger,フ́ィンガー,指,"古英語 ""finger""。派生: fingerprint(フ́ィンガープリント): 指紋 / fingertip(フ́ィンガーティップ): 指先","hand(ハ́ンド): 手, toe(ト́ウ): 足の指",食・健康,beginner
finish,フ́ィニッシュ,終える・仕上げ,"ラテン語 ""finire""。派生: finished product(フ́ィニッシュトプロ́ダクト): 完成品 / finishing line(フ́ィニッシングラ́イン): 決勝線","complete(コンプリー́ト): 完全にする, end(エン́ド): 終える",場所・移動,beginner
fire,フ́ァイア,火・発砲する・解雇する,"古英語 ""fyr""。派生: wildfire(ワ́イルドファイア): 山火事 / firework(フ́ァイアワーク): 花火","heat(ヒ́ート): 熱, burn(バ́ーン): 燃える",人・社会,beginner
firework,Firework,花火,,,食・健康,intermediate
first,フ́ァースト,最初の,"古英語 ""fyrst""。派生: firstly(フ́ァーストリ): 第一に / first aid(フ́ァーストエ́イド): 応急処置","beginning(ビギ́ニング): 初め, primary(プライ́マリ): 第一の",時間・数量,beginner
fish,フ́ィッシュ,魚,"古英語 ""fisc""。派生: fishing(フ́ィッシング): 釣り / fishery(フ́ィシャリ): 漁業","river(リ́バー): 川, sea(ス́ィー): 海",自然・環境,beginner
fishing,Fishing,釣り,,,食・健康,intermediate
fit,フ́ィット,合う・健康な,"古英語 ""fitt""(適した)。派生: fitness(フ́ィットネス): 体力 / outfit(ア́ウトフィット): 服装","match(マ́ッチ): 合う, suit(ス́ート): 似合う",食・健康,beginner
five,フ́ァイヴ,5,"古英語 ""fīf""。派生: fifteen(フィフティ́ーン): 15 / fifth(フ́ィフス): 5番目","four(フォ́ー): 4, six(ス́ィックス): 6、four(フォー): 4, six(シックス): 6, five times(ファイヴタイムズ): 5回",人・社会,beginner
fix,Fix,修理する,,,食・健康,intermediate
flight,Flight,飛行、フライト,,,食・健康,intermediate
floor,フロ́ア,床・階,古ノルド語。派生: first floor(フ́ァーストフロ́ア): 1階(英) / floor plan(フロ́アプラン): 間取り図,"ground(グラ́ウンド): 地面, level(レ́ベル): 階",場所・移動,beginner
flower,フラ́ワー,花,"ラテン語 ""florem""。派生: flour(フラ́ワー): 小麦粉(同語源) / floral(フロ́ーラル): 花の","plant(プラ́ント): 植物, bloom(ブル́ーム): 咲く",自然・環境,beginner
fly,フラ́イ,飛ぶ・ハエ,"古英語 ""flēogan""。派生: flyer(フラ́イヤー): チラシ / fly away(フラ́イアウェ́イ): 飛び去る","soar(ソ́ア): 舞い上がる, insect(イ́ンセクト): 昆虫",人・社会,beginner
focus,Focus,焦点を当てる,,,人・社会,intermediate
fold,Fold,折る,,,人・社会,intermediate
follow,フォ́ロー,従う・後に続く,"古英語 ""fylgian""。派生: follower(フォ́ロワー): 信奉者 / follow-up(フォ́ローアッ́プ): 継続","obey(オベ́イ): 従う, track(トラ́ック): 追跡する",時間・数量,beginner
food,フ́ード,食べ物,"古英語 ""fōda""。派生: seafood(スィ́ーフード): 海産物 / fast food(フ́ァストフード): ファストフード","meal(ミ́ール): 食事, dish(デ́ィッシュ): 料理",食・健康,beginner
foot,フ́ット,足・フィート,"古英語 ""fōt""。派生: football(フ́ットボール): サッカー/米式 / footprint(フ́ットプリント): 足跡","leg(レ́グ): 脚, meter(ミ́ーター): メートル",食・健康,beginner
football,Football,フットボール、サッカー,,,食・健康,intermediate
for,フォ́ー,〜のために・〜に対して,"古英語 ""for""。派生: for example(フォ́ーエグザ́ンプル): 例えば / for a while(フォ́ーアワ́イル): しばらくの間","to(トゥ́ー): 〜へ, because of(ビカ́ズオブ): 〜のために",言語基本,beginner
foreign,フォ́ーリン,外国の,"ラテン語 ""foris""(外側)→古仏語 ""forain""。派生: foreigner(フォ́ーリナー): 外国人 / foreign language(フォ́ーリン ラ́ングウィッジ): 外国語","domestic(ドメ́スティック): 国内の, abroad(アブロ́ード): 海外へ",場所・移動,intermediate
forest,フォ́レスト,森,"ラテン語 ""foris""(外)→古仏語。派生: forestry(フォ́レスツリ): 林学 / rainforest(レ́インフォレスト): 熱帯雨林","woods(ウッ́ズ): 林, tree(トリ́ー): 木",自然・環境,beginner
forever,フォレ́ヴァー,永遠に・いつまでも,"古英語 ""for""(〜のために) + ""ever""(いつも)。派生: forever and ever(フォレヴァーアンドエヴァー): 永久に / last forever(ラストフォレヴァー): 永遠に続く","always(オ́ールウェイズ): いつも, eternally(イターナリ): 永遠に",時間・数量,intermediate
forget,フォゲ́ット,忘れる,"古英語 ""forgietan""。派生: forgetful(フォゲ́ットフル): 物忘れの / forget-me-not(フォゲ́ットミノット): ワスレナグサ","remember(リメ́ンバー): 覚える, recall(リコ́ール): 思い出す",人・社会,beginner
fortunately,Fortunately,幸運にも,,,人・社会,intermediate
forty,Forty,40,,,食・健康,intermediate
forward,フォ́ーワード,前方へ・転送する,"古英語 ""forweard""。派生: forwarder(フォ́ワーダー): 運送業者 / forward-looking(フォ́ーワードルッキング): 先見的な","ahead(アヘ́ッド): 前方に, send(セ́ンド): 送る",時間・数量,beginner
four,フ́ォー,4,"古英語 ""feower""。派生: fourteen(フォーティ́ーン): 14 / fourth(フォ́ース): 4番目","three(スリ́ー): 3, five(フ́ァイヴ): 5、three(スリー): 3, five(ファイヴ): 5, quarter(クウォーター): 4分の1",人・社会,beginner
fourteen,Fourteen,14,,,食・健康,intermediate
fourth,Fourth,4番目の,,,食・健康,intermediate
France,France,フランス,,,場所・移動,intermediate
free,フリ́ー,自由な・無料の,"古英語 ""frēo""。派生: freedom(フリ́ーダム): 自由 / free of charge(フリ́ーオブチャージ): 無料で","liberal(リ́ベラル): 自由な, open(オ́ウプン): 開放された",人・社会,beginner
freedom,Freedom,自由,,,食・健康,intermediate
freely,Freely,freeの状態で,,,人・社会,intermediate
fresh,Fresh,新鮮な,,,人・社会,intermediate
Friday,Friday,金曜日,,,時間・数量,intermediate
friend,フレ́ンド,友達,"古英語 ""frēond""。派生: friendly(フレ́ンドリ): 友好的な / friendship(フレ́ンドシップ): 友情","family(フ́ァミリー): 家族, mate(メ́イト): 仲間",人・社会,beginner
friendly,Friendly,友好的な,,,人・社会,intermediate
frog,Frog,カエル,,,食・健康,intermediate
from,フロ́ム,〜から,"古英語 ""fram""。派生: from now on(フロ́ムナ́ウオン): 今後ずっと / from A to B(フロ́ムエ́ートゥビ́ー): AからBまで","since(シ́ンス): 〜以来, out of(ア́ウトオブ): 〜から",言語基本,beginner
front,フロ́ント,前・正面,古フランス語。派生: frontier(フロンテ́ィア): 国境・未開地 / upfront(アップフロ́ント): 前もって,"back(バ́ック): 後ろ, face(フ́ェイス): 顔",時間・数量,beginner
fruit,Fruit,果物,,,食・健康,intermediate
full,フ́ル,いっぱいの・完全な,"古英語 ""full""。派生: fully(フ́リ): 完全に / fullness(フ́ルネス): 充満","empty(エ́ムプティ): 空の, complete(コンプリー́ト): 完全な",人・社会,beginner
fun,フ́ァン,楽しみ,17世紀英語の俗語。派生: funny(フ́ァニ): 面白い / have fun(ハヴフ́ァン): 楽しむ,"enjoy(エンジョ́イ): 楽しむ, amusement(アミュー́ズメント): 娯楽",運動・娯楽,beginner
funny,Funny,おかしい,,,人・社会,intermediate
further,Further,furthする人,,,人・社会,intermediate
future,フ́ューチャー,未来,"ラテン語 ""futurus""(将来の)。派生: in the future(インザフ́ューチャー): 将来 / future tense(フ́ューチャーテンス): 未来時制","present(プレ́ゼント): 現在, past(パ́スト): 過去",人・社会,beginner
game,ゲ́イム,遊び・試合,"古英語 ""gamen""(楽しみ)。派生: gameplay(ゲ́イムプレイ): 遊び方 / gamer(ゲ́イマー): ゲーマー","match(マ́ッチ): 試合, sport(スポ́ート): スポーツ",運動・娯楽,beginner
garbage,Garbage,ゴミ,,,食・健康,intermediate
garden,ガ́ーデン,庭,"古フランス語 ""gardin""。派生: gardener(ガ́ードナー): 庭師 / gardening(ガ́ーデニング): 園芸","park(パ́ーク): 公園, yard(ヤ́ード): 庭",自然・環境,beginner
gas,ガ́ス,気体・ガス,"ギリシャ語 ""khaos"" 由来説。派生: gasoline(ガ́ソリーン): ガソリン / gas station(ガ́スステ́イション): ガソリンスタンド","air(エ́アー): 空気, fuel(フ́ューエル): 燃料",食・健康,beginner
gate,ゲ́イト,門・ゲート,"古英語 ""geat""(門)。派生: front gate(フロントゲイト): 正門 / gate keeper(ゲイトキーパー): 門番","entrance(エントランス): 入口, door(ドア): 扉",人・社会,beginner
gather,ギャ́ザー,集める,"古英語 ""gaderian""。派生: gathering(ギャ́ザリング): 集会 / gather up(ギャ́ザーアッ́プ): かき集める","collect(コレ́クト): 集める, assemble(アセ́ンブル): 集合する",人・社会,beginner
Germany,Germany,ドイツ,,,場所・移動,intermediate
gesture,Gesture,身振り、ジェスチャー,,,食・健康,intermediate
get,ゲ́ット,得る・着く,古英語/古ノルド語。派生: get up(ゲ́ットアッ́プ): 起きる / get to(ゲ́ットトゥ): 到着する,"obtain(オブテ́イン): 得る, receive(レシ́ーヴ): 受け取る",人・社会,beginner
giant,Giant,巨人、巨大な,,,食・健康,intermediate
gift,Gift,贈り物,,,食・健康,intermediate
girl,ガ́ール,少女,不詳(中英語)。派生: girlish(ガ́ーリッシュ): 少女らしい / girlfriend(ガ́ールフレンド): 彼女,"boy(ボ́イ): 少年, child(チャ́イルド): 子ども",人・社会,beginner
give,ギ́ヴ,与える,"古英語 ""giefan""。派生: give up(ギ́ヴアッ́プ): あきらめる / give in(ギ́ヴイ́ン): 屈する","offer(オ́ファー): 提供する, grant(グラ́ント): 与える",人・社会,beginner
glad,Glad,うれしい,,,人・社会,intermediate
glass,グラ́ス,ガラス・コップ,ゲルマン系。派生: glasses(グラ́シズ): 眼鏡 / glassware(グラ́スウェア): ガラス製品,"cup(カ́ップ): カップ, window(ウィ́ンドウ): 窓",人・社会,beginner
global,Global,世界的な,,,自然・環境,intermediate
go,ゴ́ー,行く,"古英語 ""gān""。派生: go on(ゴ́ーオ́ン): 続ける / go out(ゴ́ーア́ウト): 外出する","come(カ́ム): 来る, leave(リ́ーヴ): 去る",場所・移動,beginner
goal,ゴ́ール,目標・得点,中世英語。派生: goalie(ゴ́ーリー): ゴールキーパー / goal setting(ゴ́ールセッティング): 目標設定,"aim(エ́イム): 目標, target(ター́ゲット): 的",食・健康,beginner
gold,Gold,金、金色,,,食・健康,intermediate
good,グッ́ド,良い,"古英語 ""gōd""。派生: goodness(グッ́ドネス): 善良さ / good-bye(グッ́ドバイ): さようなら(短縮)","great(グレ́イト): すばらしい, bad(バ́ッド): 悪い",人・社会,beginner
goods,Goods,商品,,,食・健康,intermediate
gorilla,Gorilla,ゴリラ,,,食・健康,intermediate
government,ガヴァ́メント,政府,"古仏語 ""governer""。派生: govern(ガ́ヴァン): 統治する / governance(ガ́ヴァナンス): 統治(形)","state(ス́テイト): 国家, politics(ポ́リティクス): 政治",人・社会,intermediate
grade,グレ́イド,等級・成績,"ラテン語 ""gradus""(段階)。派生: upgrade(アッ́プグレード): 上方改訂 / downgrade(ダ́ウングレード): 格下げ","score(スコ́ア): 点数, level(レ́ベル): 段階",学校・学習,beginner
graduate,Graduate,卒業する,,,学校・学習,intermediate
grandfather,Grandfather,grandfathする人,,,人・社会,intermediate
grandma,Grandma,おばあちゃん,,,食・健康,intermediate
grandmother,Grandmother,grandmothする人,,,人・社会,intermediate
grandpa,Grandpa,おじいちゃん,,,食・健康,intermediate
grandparent,Grandparent,祖父母,,,食・健康,intermediate
grapes,Grapes,ブドウ,,,食・健康,intermediate
grass,グラ́ス,草・芝生,"古英語 ""græs""(草)。派生: grass field(グラスフィールド): 草原 / cut the grass(カットザグラス): 草を刈る","lawn(ロ́ーン): 芝生, meadow(メ́ドウ): 牧草地",自然・環境,beginner
great,グレ́イト,偉大な・すばらしい,"古英語 ""grēat""。派生: greatly(グレ́イトリ): 大いに / great-grand(グレ́イトグランド): 曾〜","good(グッ́ド): 良い, excellent(エ́クセレント): 優れた",人・社会,beginner
greatly,Greatly,非常に,,,人・社会,intermediate
green,グリ́ーン,緑・未熟な,"古英語 ""grēne""。派生: greenery(グリ́ーナリ): 緑地 / greenish(グリ́ーニッシュ): 緑がかった","blue(ブル́ー): 青, plant(プラ́ント): 植物",人・社会,beginner
ground,グラ́ウンド,地面・根拠,"古英語 ""grund""。派生: groundwork(グラ́ウンドワーク): 基礎 / background(バ́ックグラウンド): 背景","earth(アー́ス): 土, reason(リ́ーズン): 理由",自然・環境,beginner
group,グル́ープ,集団,"フランス語 ""groupe""。派生: group work(グル́ープワーク): 班活動 / grouping(グル́ーピング): グループ化","team(テ́ィーム): チーム, class(ク́ラス): 学級",人・社会,beginner
grow,グロ́ウ,成長する,"古英語 ""grōwan""。派生: growth(グロ́ウス): 成長 / grown-up(グロ́ウナップ): 大人(口語)","increase(インクリ́ース): 増加する, develop(ディヴェ́ロップ): 発展する",人・社会,beginner
guess,ゲ́ス,推測する,中英語。派生: guesswork(ゲ́スワーク): 当て推量 / make a guess(メ́イクアゲ́ス): 推測する,"suppose(サポ́ウズ): 思う, estimate(エ́スティメイト): 見積もる",人・社会,beginner
guest,Guest,客、ゲスト,,,食・健康,intermediate
guide,ガ́イド,案内する・案内人,古フランス語。派生: guidance(ガ́イダンス): 指導 / guidebook(ガ́イドブック): 案内書,"lead(リ́ード): 導く, show(ショ́ウ): 見せる",場所・移動,beginner
