語句,読み,意味,語源等解説,関連語,関連分野,難易度
have to,hæv tuː (ハブ トゥー),〜しなければならない,have(持つ)と to(〜すること)の組み合わせ。文字通りは「〜することを持つ」から「義務・必要性」を表す。例: I have to go.(行かなければなりません)。must とほぼ同じ意味だが、have to は外的義務、must は内的必要性のニュアンス。,,人・社会,intermediate
hear of ~,hɪə əv (ヒア オヴ),〜について聞く,hear(聞く)とof(〜について)の組み合わせ。知るという意味。,"learn about(ラーンアバウト): 知る, be informed of(ビーインフォームドオヴ): 知らされる",人・社会,intermediate
help A with B,help eɪ wɪð biː (ヘルプ エイ ウィズ ビー),AをBで手伝う・AがBするのを手伝う,help(助ける)、A(人)、with(〜で)、B(こと)の組み合わせ。誰かが何かをするのを支援することを示す。例: Can you help me with my homework?(宿題を手伝ってくれますか)。help A (to) do も似た意味だが、help A with B は名詞を伴う。,"assist A with B(アシ́ストAウィズB): AをBで支援する, aid A in B(エイドAインB): AをBで支援する",人・社会,intermediate
Here is -,hɪə ɪz - (ヒア イズ),こちらが〜です,Here(ここ)と is(です)の組み合わせ。何かを提示する時に使う表現。例: Here is your coffee.(こちらがあなたのコーヒーです)。複数形の場合は Here are を使う。Here you are(はい、どうぞ)とも使える。,,人・社会,intermediate
Here you are.,hɪə juː ɑː (ヒア ユー アー),はい、どうぞ,Here(ここ)、you(あなた)、are(いる)の組み合わせ。相手に何かを渡す時の定番表現。例: Here you are. Your change.(はい、どうぞ。お釣りです)。Here it is(これです)、There you go(はい、どうぞ)とも似た意味で使える。,,人・社会,intermediate
How about,haʊ əˈbaʊt (ハウ アバウト),〜はどうですか,How(どう)と about(〜について)の組み合わせ。提案や意見を求める表現。例: How about lunch?(お昼はどうですか)。What about とほぼ同じ意味だが、How about の方が少し柔らかい響き。,,人・社会,intermediate
How are you.,haʊ ɑːr juː (ハウ アー ユー),お元気ですか,How(どう)、are(です)、you(あなた)の組み合わせ。相手の調子や気分を尋ねる基本的な挨拶。例: How are you? - I'm fine, thanks.(お元気ですか？ - 元気です、ありがとう)。How are you doing? や How's it going? も似た意味でよりカジュアル。,,人・社会,intermediate
How long,haʊ lɔŋ (ハウ ロング),どのくらい長く,How(どう)と long(長い)の組み合わせ。時間の長さや距離を尋ねる表現。例: How long have you lived here?(ここにどのくらい住んでいますか)。How far(どのくらい遠く)は距離、How long は主に時間を尋ねる。,,人・社会,intermediate
How many,haʊ ˈmeni (ハウ メニー),いくつ,How(どう)と many(多くの)の組み合わせ。数えられる名詞(可算名詞)の数を尋ねる表現。例: How many books do you have?(本を何冊持っていますか)。How much(どのくらい)は数えられない名詞(不可算名詞)に使う。,,時間・数量,intermediate
How much,haʊ mʌtʃ (ハウ マッチ),いくら,How(どう)と much(多く)の組み合わせ。価格、または数えられない名詞(不可算名詞)の量を尋ねる表現。例: How much is this?(これはいくらですか)、How much water?(水はどのくらい)。How many は数えられるものに使う。,,人・社会,intermediate
I see.,aɪ siː (アイ シー),なるほど,I(私)と see(見る・わかる)の組み合わせ。文字通りは「私は見る」から「わかりました・なるほど」という意味。相手の説明を理解したことを示す相槌ち表現。例: I see. That makes sense.(なるほど、それは理にかなっていますね)。I understand も同じ意味。,,人・社会,intermediate
in case of ~,in cəse oʊf (イン ケ́イス オヴ),〜の場合には,in(〜において)、case(場合)、of(〜の)の組み合わせ。想定される状況を示す。,"in the event of(インザイヴェ́ントオヴ): 〜が起きた場合, if there is(イフゼ́アイズ): もし〜があれば",場所・移動,intermediate
in fact,ɪn fækt (イン ファクト),実際は,in(〜において)と fact(事実)の組み合わせ。「事実としては」から「実際には・実は」という意味。予想や一般的な考えと異なる事実を示す時に使う。例: He seems young. In fact, he's 50.(彼は若く見える。実際には50歳です)。actually や as a matter of fact と同じ意味。,,自然・環境,intermediate
in front of ~,in froʊnt oʊf (イン フラ́ント オヴ),〜の前に,in(〜に)、front(前)、of(〜の)の組み合わせ。前方の位置を示す。,"before(ビフォ́ー): 〜の前に, ahead of(アヘ́ッドオヴ): 〜の前方に",時間・数量,beginner
in line,ɪn laɪn (イン ライン),並んで,in(〜の中に)と line(列)の組み合わせ。列に並んでいる状態を示す。例: Please wait in line.(列に並んでお待ちください)。アメリカ英語では in line、イギリス英語では in a queue を使うことが多い。,,人・社会,intermediate
in need,ɪn niːd (イン ニード),困っている,in need で「必要としている、困っている」という意味。支援が必要な状態を表す。,"in trouble(イントラブル): 困って, needing help(ニーディングヘルプ): 助けが必要な",人・社会,intermediate
in order to ~,ɪn ˈɔːdə tuː (イン オーダー トゥー),〜するために,in order(順番に・目的で)と to(〜するために)の組み合わせ。目的を示す表現。例: I study hard in order to pass the exam.(試験に合格するために一生懸命勉強します)。to だけでも同じ意味だが、in order to はより形式的で目的を強調する。,,人・社会,intermediate
in the future,ɪn ðə ˈfjuːtʃə (イン ザ フューチャー),将来,in(〜において)、the future(将来)の組み合わせ。これからの時代を示す。例: I want to be a doctor in the future.(将来医者になりたい)。in the past(過去に)と対比して覚える。someday(いつか)と似た意味。,,人・社会,intermediate
in the middle of ~,ɪn ðə ˈmɪdəl əv (イン ザ ミドル オブ),〜の真ん中で,in(〜の中に)、the middle(真ん中)、of(〜の)の組み合わせ。場所や時間の中心部を示す。例: I'm in the middle of work.(仕事の真っ最中です)。「〜の途中で」という意味もある。,,場所・移動,intermediate
in those days,ɪn ðəʊz deɪz (イン ゾウズ デイズ),当時は,in those days で「その当時は、あの頃は」という意味。過去のある時期を指す。,"at that time(アットザットタイム): その時, back then(バックゼン): あの頃",時間・数量,intermediate
instead of ~,ɪnˈsted əv (インステッド オブ),〜の代わりに,instead(代わりに)と of(〜の)の組み合わせ。一つのものの代わりに別のものを選ぶことを示す。例: I'll have tea instead of coffee.(コーヒーの代わりに紅茶をいただきます)。rather than も似た意味だが、選好を示す。,,人・社会,intermediate
It is said that,ɪt ɪz sed ðæt (イット イズ セッド ザット),〜だと言われている,It is said that で「〜だと言われている」という伝聞表現。一般的な見解を示す。,"They say that(ゼイセイザット): 〜だそうだ, It is believed that(イットイズビリーヴドザット): 〜だと信じられている",人・社会,intermediate
it is time to,ɪt ɪz taɪm tuː (イット イズ タイム トゥー),〜する時間だ,it is time to で「〜する時間だ、〜すべき時だ」という意味。行動を促す表現。,"It's time for(イッツタイムフォー): 〜の時間だ, We should(ウィーシュッド): 〜すべきだ",時間・数量,intermediate
Just a moment,dʒʌst ə ˈməʊmənt (ジャスト ア モウメント),ちょっと待って,Just a moment で「少々お待ちください」という丁寧な待機依頼の表現。,"Wait a minute(ウェイトアミニット): ちょっと待って, One moment please(ワンモーメントプリーズ): 少々お待ちください",人・社会,intermediate
keep in touch,kiːp ɪn tʌtʃ (キープ イン タッチ),連絡を取り合う,keep(保つ)、in touch(接触して)の組み合わせ。「接触を保つ」から「連絡を取り合う・交流を続ける」という意味。例: Let's keep in touch!(連絡を取り合いましょう)。stay in touch も同じ意味。別れる時の定番表現。,,人・社会,intermediate
keep on -ing,kiːp ɒn -ɪŋ (キープ オン イング),〜し続ける,keep(保つ・維持する)、on(続けて)、-ing(〜すること)の組み合わせ。ある行動を継続することを強調する表現。例: He kept on talking.(彼は話し続けた)。keep -ing とほぼ同じ意味だが、keep on -ing はより継続性を強調する。,"continue -ing(コンティ́ニューイング): 〜し続ける, persist in -ing(パーシ́ストインイング): 〜を続ける",人・社会,intermediate
Let's see.,lets siː (レッツ シー),えーと/どれどれ,Let's see. で「えーと、そうですね」と考える時や、何かを確認する時に使う表現。,"Let me think(レットミーシンク): 考えさせて, Well(ウェル): えーと",人・社会,intermediate
listen to ~,listen toʊ (リ́スン トゥ),〜を聞く,listen(聞く)と to(〜に)の組み合わせ。注意して音を聞くという意味。,"hear(ヒ́ア): 聞こえる, pay attention to(ペ́イアテ́ンショントゥ): 〜に注意を払う",人・社会,beginner
little by little,ˈlɪtl̩ baɪ ˈlɪtl̩ (リ́トゥル バイ リ́トゥル),少しずつ,little(少し)を by(〜ごとに)でつなぐ繰り返し。徐々にという意味。,"gradually(グラ́ジュアリ): 徐々に, step by step(ステ́ップバイステップ): 段階的に",人・社会,beginner
look at ~,lʊk æt (ルック アット),〜を見る,look(見る)と at(〜に)の組み合わせ。意識的に何かを見ることを示す。例: Look at this picture.(この絵を見て)。see(見える)は自然に見える、look at は意図的に見るという違い。watch(観察する)は動きのあるものを見る。,,人・社会,intermediate
look for ~,lʊk fɔːr (ルック フォー),〜を探す,look(見る)と for(〜を求めて)の組み合わせ。何かを見つけようとして探すことを示す。例: I'm looking for my keys.(鍵を探しています)。search for も似た意味だが、look for の方が日常的で口語的。,,人・社会,intermediate
look forward to ~,lʊk ˈfɔːwəd tuː (ルック フォーワード トゥー),〜を楽しみにする,look(見る)、forward(前方へ)、to(〜に向かって)の組み合わせ。文字通り「前を見る」から「将来を楽しみにする」という意味。例: I look forward to seeing you.(お会いできるのを楽しみにしています)。to の後は名詞または -ing 形を使うことに注意。,,運動・娯楽,intermediate
look like ~,lʊk laɪk (ルック ライク),〜のように見える,look(見える)と like(〜のような)の組み合わせ。外見や様子がある状態に似ていることを示す。例: She looks like her mother.(彼女はお母さんに似ている)。look as if/as though も似た意味だが、より形式的。seem like(〜のようだ)とも近い意味。,,人・社会,intermediate
lots of,lɒts əv (ロッツ オヴ),多くの,lots(たくさん)と of(〜の)の組み合わせ。a lot of と同じ「たくさんの」という意味だが、より口語的。例: I have lots of friends.(たくさんの友達がいます)。数えられる名詞にも数えられない名詞にも使える。many/much よりカジュアルな表現。,,人・社会,intermediate
make a difference,məke ə diffɜːence (メ́イク ア ディ́フレンス),違いを生む・影響を与える,make(作る)、a difference(違い)の組み合わせ。変化をもたらすという意味。,"have an impact(ハ́ヴァニンパ́クト): 影響を持つ, matter(マ́ター): 重要である",自然・環境,intermediate
"Me, too.",miː tuː (ミー トゥー),私もです,"Me, too. で「私も」という同意を示す表現。相手と同じ状況や気持ちを表す。",So do I(ソードゥアイ): 私もそうです,人・社会,beginner
more and more,moʊre ənd moʊre (モ́ー アンド モ́ー),ますます・どんどん,more(もっと)の繰り返しで、増加し続けるという意味。,"increasingly(インクリ́ーシングリ): ますます, progressively(プログレ́シヴリ): だんだんと",人・社会,beginner
more than,mɔːr ðæn (モア ザン),〜以上/〜より多い,more than で「〜以上、〜より多い」という比較表現。数量や程度を示す。,"over(オーバー): 〜以上, exceeding(イクシーディング): 〜を超える",場所・移動,intermediate
most of,məʊst əv (モウスト オヴ),ほとんどの,most of で「〜のほとんど、〜の大部分」という意味。全体の大半を指す。,"the majority of(ザマジョリティオブ): 大多数の, almost all(オールモストオール): ほぼ全て",人・社会,intermediate
move on,muːv ɒn (ムーヴ オン),前に進む・次に移る,move(移動する)と on(続けて)の組み合わせ。次のことに進むという意味。move on の詳しい用法を追加してください。,"proceed(プロシ́ード): 進む, go forward(ゴウフォーワード): 前進する",人・社会,intermediate
My pleasure.,maɪ ˈpleʒə (マイ プレジャー),どういたしまして,My pleasure. で「どういたしまして」という丁寧な返答。You're welcome より丁寧。,"You're welcome(ユアーウェルカム): どういたしまして, My honor(マイオナー): 光栄です",人・社会,intermediate
next to ~,next toʊ (ネ́クスト トゥ),〜の隣に,next(次の)と to(〜に)の組み合わせ。すぐ隣にあるという意味。,"beside(ビサ́イド): 〜のそばに, adjacent to(アジェ́イセントトゥ): 〜に隣接する",人・社会,beginner
Nice to meet you.,naɪs tuː miːt juː (ナイス トゥー ミート ユー),お会いできて嬉しいです,Nice(うれしい)、to meet(会うこと)、you(あなた)の組み合わせ。初対面の人に会った時の定番挨拶。例: Nice to meet you, too.(こちらこそお会いできて嬉しいです)。別れ際には Nice to have met you.(お会いできて良かったです)と過去形を使う。Pleased to meet you. も同じ意味でより丁寧。,,人・社会,intermediate
No problem.,nəʊ ˈprɒbləm (ノウ プロブレム),問題ありません,No problem. で「問題ない、大丈夫です」という返答。気軽な承諾や了承を示す。,"No worries(ノーウォーリーズ): 心配ない, That's fine(ザッツファイン): 大丈夫です",学校・学習,intermediate
"No, thank you.",noʊ θæŋk juː (ノー サンクユー),いいえ結構です,"No, thank you. で「いいえ、結構です」という丁寧な断りの表現。",No thanks(ノーサンクス): 結構です,人・社会,beginner
not - at all,nɒt - æt ɔːl (ノット アット オール),全く〜ない,not - at all で「全く〜ない」という完全否定の強調表現。,"not in the least(ノットインザリースト): 少しも〜ない, never(ネバー): 決して〜ない",人・社会,intermediate
not always,nɒt ˈɔːlweɪz (ノット オールウェイズ),必ずしも〜ない,not always で「必ずしも〜ではない、いつも〜とは限らない」という部分否定。,"not necessarily(ノットネセサリリ): 必ずしも〜ない, sometimes not(サムタイムズノット): 時々そうでない",人・社会,intermediate
not only A but also B,nɒt ˈəʊnli eɪ bʌt ˈɔːlsəʊ biː (ノット オウンリ エイ バット オールソウ ビー),AだけでなくBも,not only A but also B で「Aだけでなく、Bもまた」という追加を示す相関表現。,"both A and B(ボースAアンドB): AもBも両方, as well as(アズウェルアズ): 〜に加えて",人・社会,intermediate
of course,əv kɔːs (オヴ コース),もちろん,of(〜の)と course(進路・当然の成り行き)の組み合わせ。文字通り「当然の成り行きとして」から「もちろん・当然」という意味。例: Of course I can help you.(もちろん手伝えます)。certainly や naturally とほぼ同じ意味。Yes, of course.(もちろんです)という承諾の返答でよく使う。,,人・社会,intermediate
on foot,oʊn foʊoʊt (オ́ン フ́ット),徒歩で,on(〜の上に)とfoot(足)の組み合わせ。歩いてという意味。,"walking(ウォ́ーキング): 歩いて, by walking(バ́イウォーキング): 歩行で",人・社会,intermediate
on one's way to,ɒn wʌnz weɪ tuː (オン ワンズ ウェイ トゥ),〜への途中で,on one's way to で「〜へ向かう途中で」という移動中を表す表現。,"heading to(ヘディングトゥ): 〜へ向かって, going to(ゴーイングトゥ): 〜へ行く途中",場所・移動,intermediate
on the other hand,ɒn ði ˈʌðə hænd (オン ザ アザー ハンド),一方,on(〜の上に)、the other hand(もう一方の手)の組み合わせ。天秤の両側のように、対比する二つの事柄を示す表現。例: He is smart. On the other hand, he is lazy.(彼は賢い。一方で怠け者だ)。on the one hand(一方では)とセットで使われることも。however や but よりも形式的な対比表現。,,人・社会,intermediate
on the way,ɒn ðə weɪ (オン ザ ウェイ),途中で,on the way で「途中で、道中で」という意味。目的地へ向かっている最中を示す。,"en route(オンルート): 途中で, while going(ホワイルゴーイング): 行く間に",場所・移動,intermediate
once upon a time,wʌns əˈpɒn ə taɪm (ワンス アポン ア タイム),昔々,once(かつて)、upon(〜の上に)、a time(ある時)の組み合わせ。「あるとき」から「昔々」という意味。童話や物語の冒頭でよく使われる定番表現。例: Once upon a time, there was a princess.(昔々、あるところにお姫様がいました)。long ago(昔)も似た意味だが、once upon a time の方が物語的。,,人・社会,intermediate
one day,wʌn deɪ (ワン デイ),ある日/いつか,one day で「ある日、いつか」という意味。過去または未来の不特定の日を指す。,"someday(サムデイ): いつか, once(ワンス): かつて",時間・数量,intermediate
over there,ˈəʊ.və(ɹ) ðeə (オウヴァ ゼア),あそこに,over(向こうに)と there(そこ)の組み合わせ。話し手から離れた場所を指す。例: The park is over there.(公園はあそこにあります)。here(ここ)、there(そこ)、over there(あそこ)という距離の三段階。通常、指を差して使う表現。,,場所・移動,intermediate
Pardon me?,ˈpɑːdn miː (パードン ミー),もう一度お願いします,Pardon me? で「もう一度言っていただけますか」という丁寧な聞き返し表現。,"Excuse me?(エクスキューズミー): すみません, Could you repeat that?(クッジューリピートザット): もう一度言っていただけますか",時間・数量,intermediate
pass by,pəss by (パ́ス バ́イ),通り過ぎる,pass(通る)とby(そばを)の組み合わせ。横を通るという意味。,"go past(ゴ́ウパスト): 通り過ぎる, move past(ムー́ヴパスト): 過ぎ去る",場所・移動,intermediate
remind A of B,remind ə oʊf b (リマ́インド ア オヴ ビー),AにBを思い出させる,remind A of B で「A(人)にB(こと)を思い出させる」という意味。記憶を呼び起こす表現。,"make A remember B(メイクAリメンバーB): AにBを思い出させる, bring back memories(ブリングバックメモリーズ): 記憶を呼び起こす",人・社会,intermediate
right away,raɪt əˈweɪ (ライト アウェイ),すぐに,right(まさに・すぐに)と away(離れて)の組み合わせ。「すぐに離れて」から「直ちに・今すぐ」という意味。例: I'll do it right away.(すぐにやります)。immediately や at once とほぼ同じ意味。right now(今すぐ)も似ているが、right away の方が行動を起こす含みが強い。,,人・社会,intermediate
run away,rʌn əˈweɪ (ラン アウェイ),逃げる,run(走る)と away(離れて)の組み合わせ。危険や困難から走って逃げることを示す。例: The cat ran away.(猫が逃げた)。家出する時にも使う: He ran away from home.(彼は家出した)。escape(逃げる)より物理的な「走って逃げる」という感じが強い。,,人・社会,intermediate
run out of ~,rʌn aʊt əv (ラン アウト オヴ),〜が切れる・尽きる,run(走る・進む)、out(外へ)、of(〜の)の組み合わせ。「〜の外へ走り出る」から「使い切る・なくなる」という意味。例: We ran out of milk.(牛乳が切れました)。受動態で be out of ~(〜が切れている)とも使える。use up(使い切る)と似ているが、run out of は意図せず切れてしまうニュアンス。,"use up(ユーズアップ): 使い切る, be out of(ビーアウトオブ): 〜が切れている",場所・移動,intermediate
See you.,siː juː (シー ユー),またね,See you. で「またね、さようなら」というカジュアルな別れの挨拶。,"Bye(バイ): さようなら, See you later(シーユーレイター): また後で",人・社会,intermediate
set up,set ʌp (セット アップ),設立する,set(置く・設ける)と up(上へ・完成して)の組み合わせ。何かを立ち上げる、または組織やシステムを設置・設定することを示す。例: They set up a new company.(彼らは新会社を設立した)。他にも「機器を設置する」「会議を手配する」など多義。establish より口語的。,,人・社会,intermediate
Shall I - ?,ʃæl aɪ - (シャル アイ),〜しましょうか?,Shall I - ? で「〜しましょうか」という申し出や提案を表す丁寧な疑問表現。,"Should I(シュッダイ): 〜すべきですか, Would you like me to(ウッジューライクミートゥ): 〜しましょうか",人・社会,intermediate
sit down,sɪt daʊn (シット ダウン),座る,sit(座る)と down(下へ)の組み合わせ。立った状態から下に降りて座ることを示す。例: Please sit down.(どうぞお座りください)。sit だけでも同じ意味だが、sit down は座る動作、sit は座っている状態を強調する。stand up(立ち上がる)と対比して覚える。,,人・社会,intermediate
so A that B,səʊ eɪ ðæt biː (ソー エイ ザット ビー),とてもAなのでB,so A that B で「とてもA(形容詞/副詞)なのでB(結果)」という程度と結果を表す文型。,"such A that B(サッチAザットB): とてもAなのでB, too A to B(トゥーAトゥB): AすぎてBできない",人・社会,intermediate
"Some A, Others B",sʌm eɪ ʌðəz biː (サム エイ アザーズ ビー),あるものはA、他ははB,"Some A, Others B で「あるものはA、他のものはB」という対比表現。複数の異なるグループを示す。",some - ,人・社会,intermediate
some of,sɑm əv (サム オヴ),いくつかの,some of で「〜のいくつか、〜の一部」という意味。全体の一部を指す。,"part of(パートオブ): 〜の一部, several of(セブラルオブ): 〜のいくつか",時間・数量,intermediate
sound like ~,soʊund like (サ́ウンド ラ́イク),〜のように聞こえる,sound(聞こえる)と like(〜のような)の組み合わせ。何かに似た音や様子という意味。,"seem like(スィ́ームラ́イク): 〜のように見える, appear(アピ́ア): 見える",人・社会,beginner
stand up,stænd ʌp (スタンド アップ),立ち上がる,stand(立つ)と up(上へ)の組み合わせ。座った状態から上に伸びて立ち上がることを示す。例: Please stand up.(立ち上がってください)。比喩的に「反抗する・立ち向かう」という意味もある。sit down(座る)と対比して覚える。get up は朝起きる、stand up は立ち上がる動作。,,場所・移動,intermediate
such as,sʌtʃ æz (サッチ アズ),〜のような,such(そのような)と as(〜として)の組み合わせ。例を挙げる時に使う表現。例: I like fruits such as apples and oranges.(リンゴやオレンジのような果物が好きです)。for example と似ているが、such as は文中に組み込んで使い、for example は文頭やコンマの後で使うことが多い。like も同様に使えるが、such as の方が正式。,,人・社会,intermediate
take a walk,teɪk ə wɔːk (テイク ア ウォーク),散歩する,take(する)、a((一つの)、walk(歩くこと)の組み合わせ。「歩くことをする」から「散歩する」という意味。例: Let's take a walk in the park.(公園を散歩しましょう)。go for a walk も同じ意味。take a bath(入浴する)、take a break(休憊する)など take + 名詞 のパターン。,"go for a walk(ゴウフォアウォーク): 散歩に行く, stroll(ストロール): ぶらぶら歩く",人・社会,intermediate
take ~ away,teɪk - əˈweɪ (テイク アウェイ),〜を持ち帰る・持ち去る,take(取る・持っていく)と away(離れて)の組み合わせ。何かをその場所から持って移動することを示す。例: Take away this trash.(このゴミを持って行って)。レストランでの「持ち帰り」も take away/takeaway/to go と言う。remove(取り除く)と似ているが、take away は移動を強調。,"remove(リムーヴ): 取り除く, carry away(キャリーアウェイ): 運び去る",人・社会,intermediate
take care of ~,teɪk ker əv (テイク ケア オヴ),〜の世話をする,take(する)、care(世話・注意)、of(〜の)の組み合わせ。誰かや何かの面倒を見る、または管理することを示す。例: I take care of my little sister.(妹の世話をしています)。他にも「処理する・対処する」という意味もある。look after とほぼ同じ意味。,,人・社会,intermediate
take off,teɪk ɔːf (テイク オフ),離陸する,take(取る・移動する)と off(離れて)の組み合わせ。主な意味は三つ: ①飛行機が離陸する、②衣服を脱ぐ、③人気が出る・急成長する。例: The plane took off.(飛行機が離陸した)、Take off your shoes.(靴を脱いで)。put on(身に着ける)と対比して覚える。,,人・社会,intermediate
take out,teɪk aʊt (テイク アウト),取り出す,take(取る)と out(外へ)の組み合わせ。何かを内側から外に取り出すことを示す。例: Take out your notebook.(ノートを取り出してください)。他にも「外食する」「デートに誘う」という意味もある。put in(入れる)と対比して覚える。,,人・社会,intermediate
take part in ~,təke pərt in (テ́イク パ́ート イ́ン),〜に参加する,take(取る)、part(部分)、in(〜に)の組み合わせ。活動に加わるという意味。,"participate in(パーティ́シペイトイン): 〜に参加する, join in(ジョ́インイン): 〜に加わる",人・社会,beginner
Thank you.,θənk yoʊu. (サ́ンク ユ́ー),ありがとう,Thank you. で「ありがとうございます」という感謝の基本表現。,"Thanks(サンクス): ありがとう, I appreciate it(アイアプリーシエイトイット): 感謝します",人・社会,intermediate
Thanks for ~,θæŋks fɔːr (サンクス フォー),〜をありがとう,Thanks for で「〜をありがとう」という特定のことに対する感謝を表す。,"Thank you for(サンクユーフォー): 〜をありがとう, I appreciate(アイアプリーシエイト): 〜に感謝します",人・社会,intermediate
thanks to,θæŋks tuː (サンクス トゥー),〜のおかげで,thanks(感謝)と to(〜に対して)の組み合わせ。文字通りは「〜に感謝して」から「〜のおかげで」という意味。良い結果にも悪い結果(皮肉)にも使える。例: Thanks to you, I passed the test.(あなたのおかげでテストに合格しました)。because of と似ているが、thanks to はより好意的。,,人・社会,intermediate
That's right.,ðæts raɪt (ザッツ ライト),その通りです,That's(それは)と right(正しい)の組み合わせ。相手の言ったことが正しいことを確認・同意する表現。例: "Is this your book?" "That's right."(「これはあなたの本ですか」「その通りです」)。Exactly(その通り)、You're right(あなたは正しい)、That's correct(正しいです)も同じ意味。,,場所・移動,intermediate
these days,ðiːz deɪz (ザイーズ デイズ),最近,these(これらの)と days(日々)の組み合わせ。最近の日々、現在の時代を指す表現。例: These days, everyone has a smartphone.(最近は誰でもスマートフォンを持っています)。nowadays(現代では)とほぼ同じ意味。recently はより短い最近、these days はより長い期間の最近。,,人・社会,intermediate
think of ~,θɪŋk əv (シンク オヴ),〜を思い浮かべる,think(考える)と of(〜について)の組み合わせ。主な意味は二つ: ①〜を思い浮かべる、②〜をどう思うか(評価)。例: I can't think of his name.(彼の名前が思い出せません)、What do you think of this idea?(このアイデアをどう思いますか)。think about(〜について考える)と似ている。,,人・社会,intermediate
this way,ðɪs weɪ (ザイス ウェイ),こちらへ/このように,this way で「こちらへ、この方法で」という方向や方法を示す表現。,"like this(ライクザット): このように, over here(オーバーヒア): こちらに",人・社会,intermediate
thousands of,ˈθaʊzəndz əv (サウザンズ オヴ),何千もの,thousands(何千)と of(〜の)の組み合わせ。数千単位の非常に多い数を示す。例: Thousands of people attended the concert.(何千人もの人がコンサートに参加した)。hundreds of(何百もの)、millions of(何百万もの)も同様のパターン。注意: thousand は複数形 -s を付ける。,,時間・数量,intermediate
too A to B,tuː eɪ tuː biː (トゥー エイ トゥー ビー),AすぎてBできない,too A to B で「A(形容詞/副詞)すぎてB(動詞)できない」という程度を表す文型。,"so A that (ソーAザット): とてもAなので, excessively A(エクセシブリA): 過度にA",人・社会,intermediate
turn into ~,tɜːn intoʊ (タ́ーン イ́ントゥ),〜に変わる,turn(変わる)と into(〜に)の組み合わせ。別のものになるという意味。,"change into(チェ́インジイントゥ): 〜に変化する, transform into(トランスフォ́ームイントゥ): 〜に変身する",人・社会,beginner
turn off,tɜːn ɔːf (ターン オフ),消す,turn(回す・変える)と off(離れて・止めて)の組み合わせ。電気や機器のスイッチを切って消すことを示す。例: Turn off the light.(電気を消して)。turn on(つける)と対比して覚える。switch off も同じ意味だが、turn off の方が一般的。,,人・社会,intermediate
turn on,tɜːn ɒn (ターン オン),つける,turn(回す・変える)と on(上に・動作して)の組み合わせ。電気や機器のスイッチを入れて動かすことを示す。例: Turn on the TV.(テレビをつけて)。turn off(消す)と対比して覚える。switch on も同じ意味だが、turn on の方が一般的。,,人・社会,intermediate
very much,ˈveri mʌtʃ (ヴェリ マッチ),とても,very much で「とても、大変」という強調を表す副詞。感謝や好意を強める。,"a lot(アロット): とても, greatly(グレイトリ): 大いに",人・社会,intermediate
wait for ~,wəit foʊr (ウェ́イト フォ́ー),〜を待つ,wait(待つ)と for(〜を)の組み合わせ。人や物が来るまで待つという意味。,"await(アウェ́イト): 待つ, expect(イクスペ́クト): 期待する",人・社会,beginner
wake up,weɪk ʌp (ウェイク アップ),目を覚ます,wake(目を覚ます)と up(上へ・完全に)の組み合わせ。眠りから覚めることを示す。例: I wake up at 6 every morning.(毎朝6時に目が覚めます)。wake(目を覚ます瞬間)と wake up(完全に覚める)の微妙な違いがある。get up(起き上がる)はベッドから出ること。,,食・健康,intermediate
want to,wɒnt tuː (ウォント トゥー),〜したい,want(欲しい)と to(〜すること)の組み合わせ。何かをしたいという欲求や希望を表す。例: I want to go to Japan.(日本に行きたいです)。would like to(〜したいのですが)はより丁寧な表現。wanna は want to の口語的な縮約形。,,人・社会,intermediate
Welcome to ~,ˈwelkəm tuː (ウェルカム トゥー),〜へようこそ,Welcome to で「〜へようこそ」という歓迎の表現。場所やイベントへの歓迎を示す。,"Welcome(ウェルカム): ようこそ, Glad to have you(グラッドトゥハブユー): お越しいただき嬉しいです",人・社会,intermediate
What about - ?,wɒt əˈbaʊt - (ワット アバウト),〜はどうですか?,What about - ? で「〜はどうですか」という提案や意見を聞く表現。,"How about(ハウアバウト): 〜はどうですか, What do you think of(ホワットドゥユーシンクオブ): 〜をどう思いますか",人・社会,intermediate
What's up - ?,wɒts ʌp - (ワッツ アップ),どうしたの?,What's up - ? で「どうしたの、何かあったの」というカジュアルな挨拶や質問。,"What's wrong(ホワッツロング): どうしたの, How's it going(ハウズイットゴーイング): 調子はどう",人・社会,intermediate
Why don't we - ?,waɪ dəʊnt wiː - (ワイ ドウント ウィー),〜しませんか?,Why don't we - ? で「〜しませんか」という提案や勧誘を示す表現。,"Let's(レッツ): 〜しましょう, Shall we(シャルウィー): 〜しませんか",人・社会,intermediate
work on ~,woʊrk oʊn (ワ́ーク オ́ン),〜に取り組む,work(働く)と on(〜に)の組み合わせ。何かに努力するという意味。,"focus on(フォ́ウカスオン): 集中する, concentrate on(コ́ンセントレイトオン): 専念する",人・社会,beginner
work out,wɜːk (ワ́ーク ア́ウト),うまくいく,work out の詳しい用法を追加してください。,,人・社会,intermediate
would like to,wʊd (ウ́ッド ラ́イク トゥ́),〜したい,would like(〜したい)と to(〜すること)の組み合わせ。want to よりも丁寧な表現。,"want to(ウォントトゥ): 〜したい, wish to(ウィッシュトゥ): 〜したい",人・社会,intermediate
