語句,読み,意味,語源等解説,関連語,関連分野,難易度
cover,カ́ヴァー,覆う・表紙,"古仏語 ""covrir"" が語源。派生: coverage(カ́ヴァレッジ): 報道・補償範囲 / cover up(カ́ヴァーアッ́プ): 隠す","hide(ハ́イド): 隠す, lid(リ́ッド): ふた",生活,初級
cow,Cow,牛,cow の詳細な語源情報を追加してください。,,中級語彙,中級
create,クリエ́イト,創造する,"ラテン語 ""creare""(生み出す)が語源。派生: creative(クリエ́イティブ): 創造的な / creature(クリー́チャー): 生き物","make(メ́イク): 作る, produce(プロデュ́ース): 生み出す",文化,初級
creative,Creative,創造的な,creative の詳細な語源情報を追加してください。,,中級語彙,中級
cross,クロ́ス,横切る・十字,"ラテン語 ""crux""(十字)が語源。派生: crosswalk(クロ́スウォーク): 横断歩道 / crossword(クロ́スワード): 文字パズル","across(アクロ́ス): 横切って, intersect(インタラ́セクト): 交差する",位置,初級
crowd,Crowd,群衆,crowd の詳細な語源情報を追加してください。,,中級語彙,中級
crowded,Crowded,混雑した,crowded の詳細な語源情報を追加してください。,,中級語彙,中級
cry,クライ́,泣く・叫ぶ,擬音的語源。派生: crying(クライ́イング): 泣いている / outcry(ア́ウトクライ): 抗議,"weep(ウィ́ープ): 泣く, shout(シャ́ウト): 叫ぶ",感情,初級
cucumber,Cucumber,cucumbする人,cucumber の語源情報が必要です。,,名詞,中級
cultural,Cultural,文化的な,cultural の詳細な語源情報を追加してください。,,中級語彙,中級
culture,Culture,文化,culture の詳細な語源情報を追加してください。,,中級語彙,中級
cup,カ́ップ,カップ,"ラテン語 ""cuppa"" が語源。派生: teacup(テ́ィーカップ): ティーカップ / cupcake(カ́ップケーキ): カップケーキ","glass(グラ́ス): コップ, mug(マ́グ): マグ",食べ物,初級
curry,Curry,カレー,curry の詳細な語源情報を追加してください。,,中級語彙,中級
curtain,Curtain,カーテン,curtain の詳細な語源情報を追加してください。,,中級語彙,中級
custom,Custom,習慣,custom の詳細な語源情報を追加してください。,,中級語彙,中級
customer,Customer,客,customer の詳細な語源情報を追加してください。,,中級語彙,中級
cut,カ́ット,切る,"古英語 ""cyttan""。派生: shortcut(ショ́ートカット): 近道 / haircut(ヘ́アカット): 散髪","slice(スライ́ス): 薄切り, chop(チョ́ップ): 切る",動作,初級
cute,Cute,かわいい,cute の詳細な語源情報を追加してください。,,中級語彙,中級
dad,ダ́ッド,お父さん,幼児語起源。派生: daddy(ダ́ディ): パパ / stepdad(ステ́ップダッド): 義父,"father(ファ́ーザー): 父, mom(マ́ム): 母",人間関係,初級
daily,デ́イリー,毎日の・日刊の,"古英語 ""dæglīc""。派生: daily life(デ́イリーライフ): 日常生活 / daily newspaper(デ́イリーニ́ューズペーパー): 日刊紙","everyday(エヴリデ́イ): 毎日の, weekly(ウィ́ークリー): 毎週の",時間,初級
damage,Damage,損害を与える,damage の詳細な語源情報を追加してください。,,中級語彙,中級
dance,Dance,踊る,dance の詳細な語源情報を追加してください。,,中級語彙,中級
dancing,Dancing,ダンス(すること),音楽に合わせて体を動かす表現。例: go dancing(踊りに行く)。,"dance(ダンス): 踊る, music(ミュージック): 音楽",芸術,初級
danger,デ́ンジャー,危険,"ラテン語 ""dominus"" 経由の古仏語。派生: dangerous(デ́ンジャラス): 危険な / endanger(エンデ́ンジャー): 危険にさらす","risk(リ́スク): 危険, safe(セ́イフ): 安全な",状態,初級
dangerous,Dangerous,危険な,dangerous の詳細な語源情報を追加してください。,,中級語彙,中級
dark,ダ́ーク,暗い・濃い,ゲルマン系語源。派生: darkness(ダ́ークネス): 暗闇 / darken(ダ́ーケン): 暗くする,"light(ラ́イト): 明るい, dim(ディ́ム): 薄暗い",色,初級
date,デ́イト,日付・デート,"ラテン語 ""datum""(与えられたもの)。派生: update(アッ́プデート): 更新 / dating(デ́イティング): 交際","day(デ́イ): 日, calendar(カ́レンダー): 暦",時間,初級
daughter,ドー́ター,娘,"古英語 ""dohtor""。派生: granddaughter(グラ́ンドドーター): 孫娘 / daughter-in-law(ドー́ターインロ́ー): 義娘","son(サ́ン): 息子, child(チャ́イルド): 子ども",人間関係,初級
day,デ́イ,日・昼間,"古英語 ""dæg""。派生: daytime(デ́イタイム): 昼間 / someday(サ́ムデイ): いつか","night(ナ́イト): 夜, today(トゥデ́イ): 今日",時間,初級
dead,デ́ッド,死んだ・非常に,"古英語 ""dēad""。派生: deadly(デ́ドリ): 致命的な / deadline(デ́ッドライン): 期限","alive(アラ́イブ): 生きて, die(ダ́イ): 死ぬ",状態,初級
deal,Deal,取引・扱う,ビジネス上の合意/対処する。例: make a deal(取引する) / deal with(対処する)。,"agreement(アグリーメント): 合意, handle(ハンドル): 対処する",行動,中級
dear,Dear,親愛な,dear の詳細な語源情報を追加してください。,,中級語彙,中級
death,Death,死,death の詳細な語源情報を追加してください。,,中級語彙,中級
debate,Debate,討論する,debate の詳細な語源情報を追加してください。,,中級語彙,中級
December,December,12月,december の詳細な語源情報を追加してください。,,中級語彙,中級
decide,ディサ́イド,決める,"ラテン語 ""decidere""(断ち切る)。派生: decision(ディシ́ジョン): 決定 / decisive(ディサ́イシヴ): 決定的な","determine(ディタ́ーミン): 決定する, choose(チュー́ズ): 選ぶ",思考,初級
decision,Decision,決定,decision の詳細な語源情報を追加してください。,,中級語彙,中級
decorate,Decorate,飾る,decorate の詳細な語源情報を追加してください。,,中級語彙,中級
decrease,Decrease,減らす,decrease の詳細な語源情報を追加してください。,,中級語彙,中級
deep,デ́ィープ,深い,"古英語 ""dēop""。派生: deepen(デ́ィープン): 深める / deep-sea(デ́ィープシー): 深海の","shallow(シャ́ロウ): 浅い, profound(プロファ́ウンド): 深遠な",状態,初級
degree,ディグリ́ー,程度・学位,"フランス語経由のラテン語 ""gradus""(段階)。派生: undergraduate(アンダーグラ́ジュエット): 学部生 / to a degree(トゥアディグリ́ー): ある程度","level(レ́ベル): 程度, temperature(テ́ンプリチャ): 温度",概念,初級
delicious,Delicious,おいしい,delicious の詳細な語源情報を追加してください。,,中級語彙,中級
delivery,Delivery,配達・届けること,物を目的地へ運ぶ行為。例: free delivery(送料無料)。,"ship(シップ): 発送する, send(センド): 送る",行動,中級
dentist,Dentist,歯医者,dentist の詳細な語源情報を追加してください。,,中級語彙,中級
depend,Depend,依存する,depend の詳細な語源情報を追加してください。,,中級語彙,中級
design,Design,設計・デザイン,目的に沿って形や構成を考える。例: graphic design(グラフィックデザイン)。,"plan(プラン): 計画, create(クリエイト): 作り出す",芸術,中級
designer,Designer,デザイナー,designer の詳細な語源情報を追加してください。,,中級語彙,中級
desk,デ́スク,机,中英語。派生: desktop(デ́スクトップ): 机上 / desk lamp(デ́スクランプ): デスクライト,"table(テ́ーブル): テーブル, chair(チェ́ア): いす",生活,初級
dessert,Dessert,デザート,dessert の詳細な語源情報を追加してください。,,中級語彙,中級
destroy,Destroy,破壊する,destroy の詳細な語源情報を追加してください。,,中級語彙,中級
develop,ディヴェ́ロップ,発展させる,"古仏語 ""desveloper""(包みを開く)。派生: development(ディヴェ́ロップメント): 発展 / developer(ディヴェ́ロッパー): 開発者","improve(インプル́ーブ): 改善する, grow(グロ́ウ): 成長する",社会,初級
development,Development,発展,development の詳細な語源情報を追加してください。,,中級語彙,中級
device,Device,装置・機器,特定の目的を果たす道具。例: electronic device(電子機器)。,"tool(ツール): 道具, gadget(ガジェット): 小型機器",IT,中級
dictionary,Dictionary,辞書,dictionary の詳細な語源情報を追加してください。,,中級語彙,中級
did,ディ́ッド,〜した,doの過去形。派生: didn't(ディ́ドゥント): 〜しなかった,"do(ドゥー): する, does(ダズ): する, done(ダン): された",動詞,初級
die,ダ́イ,死ぬ,古ノルド語。派生: diet(ダ́イエット): 本来は生活様式/食事法 / deadly(デ́ドリ): 致命的な,"pass away(パ́スアウェ́イ): 亡くなる, perish(ペ́リッシュ): 死ぬ",状態,初級
difference,Difference,違い,difference の詳細な語源情報を追加してください。,,中級語彙,中級
different,ディ́ファレント,違った・様々な,"ラテン語 ""differre""(離れる)。派生: difference(ディ́ファレンス): 違い / differentiate(ディファレ́ンシエイト): 区別する","various(ヴェ́アリアス): 様々な, unlike(アンラ́イク): 〜と違って",概念,初級
difficult,ディ́フィカルト,難しい,"ラテン語 ""difficilis""。派生: difficulty(ディ́フィカルティ): 困難 / with difficulty(ウィズディ́フィカルティ): 困難を伴って","hard(ハ́ード): 難しい, easy(イ́ージー): 易しい",評価,初級
dinner,Dinner,夕食,dinner の詳細な語源情報を追加してください。,,中級語彙,中級
direction,Direction,方向,direction の詳細な語源情報を追加してください。,,中級語彙,中級
dirty,Dirty,汚い,dirty の詳細な語源情報を追加してください。,,中級語彙,中級
disagree,Disagree,賛成しない・異なる,考えが合わない。例: disagree with ~ (〜に同意しない)。,"differ(ディファー): 異なる, oppose(オポーズ): 反対する",動詞,中級
disappear,Disappear,消える,disappear の詳細な語源情報を追加してください。,,中級語彙,中級
disaster,Disaster,災害,disaster の詳細な語源情報を追加してください。,,中級語彙,中級
discover,Discover,発見する,discover の詳細な語源情報を追加してください。,,中級語彙,中級
discuss,ディスカ́ス,議論する,"ラテン語 ""discutere""(打ち砕く→詳しく議論)。派生: discussion(ディスカ́ッション): 議論 / discussant(ディスカ́サント): 討論者","talk about(トークアバ́ウト): 〜について話す, debate(ディベ́イト): 討論する",伝達,初級
discussion,Discussion,議論,discussion の詳細な語源情報を追加してください。,,中級語彙,中級
disease,Disease,病気,disease の詳細な語源情報を追加してください。,,中級語彙,中級
dish,Dish,皿,dish の詳細な語源情報を追加してください。,,中級語彙,中級
display,Display,表示する,display の詳細な語源情報を追加してください。,,中級語彙,中級
dive,Dive,飛び込む・潜る,頭から水中へ入る/深く潜る。例: dive into the pool(プールに飛び込む)。,"jump(ジャンプ): 跳ぶ, plunge(プランジ): 飛び込む",動詞,中級
do,ドゥ́,する,"古英語 ""dōn""。派生: do so(ドゥ́ソウ): そうする / undo(アンドゥ́): 元に戻す","act(ア́クト): 行う, make(メ́イク): 作る",動作,初級
doctor,ド́クター,医者,"ラテン語 ""docere""(教える)。派生: doctoral(ド́クトラル): 博士の / doctrine(ド́クトリン): 教理(語源同根)","physician(フィジ́シャン): 医師, nurse(ナ́ース): 看護師",健康,初級
does,ダ́ズ,〜する,doの三人称単数現在形。派生: doesn't(ダ́ズント): 〜しない,"do(ドゥー): する, did(ディッド): した",動詞,初級
dog,ド́グ,犬,古英語。派生: puppy(パ́ピー): 子犬 / doghouse(ド́グハウス): 犬小屋,"cat(キャ́ット): 猫, pet(ペ́ット): ペット",生物,初級
dollar,Dollar,ドル,dollar の詳細な語源情報を追加してください。,,中級語彙,中級
domestic,Domestic,国内の・家庭の,国の内部に関する/家庭に関する。例: domestic flight(国内便)。,"international(インターナショナル): 国際的な, household(ハウスホールド): 家庭",社会,中級
door,ド́ア,ドア,"古英語 ""duru""。派生: doorway(ド́アウェイ): 出入口 / doorknob(ド́アノブ): ドアノブ","gate(ゲ́イト): 門, entrance(エ́ントランス): 入口",生活,初級
double,Double,二倍の,double の詳細な語源情報を追加してください。,,中級語彙,中級
doubt,ダ́ウト,疑い・疑う,"ラテン語 ""dubitare""(ためらう)。派生: no doubt(ノウダウト): 疑いなく / beyond doubt(ビヨンドダウト): 疑う余地なく","uncertainty(アンサーテンティ): 不確実性, suspicion(サスピション): 疑惑",名詞,初級
down,ダ́ウン,下へ・落ち込んで,ゲルマン系語源。派生: download(ダ́ウンロード): 取り込む / downturn(ダ́ウンターン): 低迷,"up(ア́ップ): 上へ, below(ビロ́ウ): 下に",位置,初級
drama,Drama,ドラマ,drama の詳細な語源情報を追加してください。,,中級語彙,中級
draw,ドロ́ー,描く・引く,"古英語 ""dragan""(引く)。派生: drawer(ドロ́ーワー): 引き出し / drawing(ドロ́ーイング): 絵","pull(プル́): 引く, paint(ペ́イント): 描く",文化,初級
dream,ドリ́ーム,夢・夢を見る,"古英語 ""drēam""。派生: dreamy(ドリ́ーミー): 夢のような / daydream(デ́イドリーム): 白昼夢","sleep(スリ́ープ): 眠る, hope(ホ́ウプ): 望み",感情,初級
dress,ドレ́ス,服・服を着る,"古仏語 ""dresser""(整える)。派生: dressing(ドレ́ッシング): 調味料/包帯 / dressed(ドレ́スト): 支度ができた","clothes(クロ́ウズ): 衣服, wear(ウ́ェア): 着る",生活,初級
drill,Drill,訓練・ドリル,繰り返し練習/穴を開ける工具。例: fire drill(避難訓練) / electric drill(電動ドリル)。,"practice(プラクティス): 練習, exercise(エクササイズ): 演習",行動,中級
drink,ドリ́ンク,飲む・飲み物,"古英語 ""drincan""。派生: drinkable(ドリ́ンカブル): 飲める / soft drink(ソ́フトドリンク): 清涼飲料","eat(イ́ート): 食べる, water(ウォ́ーター): 水",食べ物,初級
drive,ドラ́イブ,運転する・追いやる,"古英語 ""drīfan""。派生: driver(ドラ́イバー): 運転手 / driveway(ドラ́イブウェイ): 私道","ride(ラ́イド): 乗る, car(カ́ー): 車",交通,初級
driver,Driver,運転手,driver の詳細な語源情報を追加してください。,,中級語彙,中級
drop,ドロ́ップ,落とす・しずく,"古英語 ""dropa""。派生: droplet(ドロ́プレット): 微小な滴 / drop out(ドロ́ップア́ウト): 中退する","fall(フォ́ール): 落ちる, spill(スピ́ル): こぼす",動作,初級
drum,Drum,ドラム,drum の詳細な語源情報を追加してください。,,中級語彙,中級
dry,ドライ́,乾く・乾いた,"古英語 ""drȳge""。派生: dryer(ドライ́ヤー): 乾燥機 / dry up(ドライ́アッ́プ): 干上がる","wet(ウェ́ット): 濡れた, arid(ア́リド): 乾燥した",状態,初級
during,During,〜の間に,during の詳細な語源情報を追加してください。,,中級語彙,中級
each,イ́ーチ,それぞれの,"古英語 ""ǣlc""。派生: each other(イ́ーチア́ザー): 互いに / each time(イ́ーチタイム): 毎回","every(エ́ヴリ): すべての, per(パ́ー): 〜ごとに",限定詞,初級
ear,イ́アー,耳,"古英語 ""ēare""。派生: earphone(イ́アフォン): イヤホン / earache(イ́アエイク): 耳の痛み","hear(ヒ́ア): 聞く, sound(サ́ウンド): 音",人体,初級
early,アー́リー,早い・初期の,"古英語 ""ǣr""(前)が語源。派生: earliest(アー́リエスト): 最初の / early bird(アー́リーバード): 早起きの人","soon(スー́ン): すぐに, late(レ́イト): 遅い",時間,初級
earn,Earn,稼ぐ,earn の詳細な語源情報を追加してください。,,中級語彙,中級
earth,アー́ス,地球・土,"古英語 ""eor(th)e""。派生: earthquake(アー́スクウェイク): 地震 / earthly(アー́スリ): この世の","world(ワ́ールド): 世界, soil(ソ́イル): 土",自然,初級
earthquake,Earthquake,地震,earthquake の詳細な語源情報を追加してください。,,中級語彙,中級
easily,Easily,簡単に,easily の詳細な語源情報を追加してください。,,中級語彙,中級
east,イー́スト,東,"古英語 ""ēast""。派生: eastern(イー́スタン): 東方の / the East(ジイー́スト): 東洋","west(ウェ́スト): 西, sunrise(サ́ンライズ): 日の出",地理,初級
easy,イー́ジー,簡単な・気楽な,古仏語。派生: easily(イー́ズィリ): たやすく / take it easy(テ́イクイッティー́ジー): 気楽に,"simple(シ́ンプル): 単純な, difficult(ディ́フィカルト): 難しい",評価,初級
education,エデュケ́イション,教育,"ラテン語 ""educere""(引き出す)。派生: educate(エデュ́ケイト): 教育する / educator(エデュ́ケイター): 教育者","school(スク́ール): 学校, learning(ラ́ーニング): 学習",教育,初級
effect,イフェ́クト,効果・影響,"ラテン語 ""efficere""(成し遂げる)。派生: effective(イフェ́クティヴ): 効果的な / side effect(サ́イドイフェ́クト): 副作用","result(リザ́ルト): 結果, affect(アフェ́クト): 影響を与える",概念,初級
effective,Effective,効果的な,effective の詳細な語源情報を追加してください。,,中級語彙,中級
effort,エ́フォート,努力,"古仏語 ""esforz""。派生: effortless(エ́フォートレス): 骨の折れない / make an effort(メ́イクアンエ́フォート): 努力する","try(トラ́イ): 試みる, attempt(アテ́ンプト): 試み",学習,初級
egg,Egg,卵,egg の詳細な語源情報を追加してください。,,中級語彙,中級
eight,エ́イト,8,"古英語 ""eahta""。派生: eighteen(エイティ́ーン): 18 / eighth(エ́イス): 8番目","seven(セ́ヴン): 7, nine(ナ́イン): 9、seven(セヴン): 7, nine(ナイン): 9, eighty(エイティ): 80",数、数詞,初級
eighteen,Eighteen,18,eighteen の詳細な語源情報を追加してください。,,中級語彙,中級
eighth,Eighth,8番目の,eighth の詳細な語源情報を追加してください。,,中級語彙,中級
eighty,Eighty,80,eighty の詳細な語源情報を追加してください。,,中級語彙,中級
either,イー́ザー,どちらか,"古英語 ""ǣgther""。派生: either A or B(イー́ザーエ́ーオアビ́ー): AかBか / either way(イー́ザウェイ): どちらにせよ","both(ボ́ース): 両方, neither(ニー́ザー): どちらも〜ない",限定詞,初級
elderly,Elderly,年配の,elderly の詳細な語源情報を追加してください。,,中級語彙,中級
electricity,Electricity,電気,electricity の詳細な語源情報を追加してください。,,中級語彙,中級
electronic,Electronic,電子の,electronic の詳細な語源情報を追加してください。,,中級語彙,中級
elementary,Elementary,初等の,elementary の詳細な語源情報を追加してください。,,中級語彙,中級
elephant,Elephant,象,elephant の詳細な語源情報を追加してください。,,中級語彙,中級
eleven,イレ́ヴン,11,"古英語 ""endleofan""。派生: eleventh(イレ́ヴンス): 11番目 / eleven plus(イレ́ヴンプラス): 11歳選抜試験(英)","ten(テ́ン): 10, twelve(トゥエ́ルヴ): 12",数,初級
eleventh,Eleventh,11番目の,eleventh の詳細な語源情報を追加してください。,,中級語彙,中級
else,エ́ルス,ほかの,"古英語 ""elles""。派生: else where(エ́ルスウェア): どこかほかで / else if(エ́ルスイフ): それ以外なら(プログラミング)","other(ア́ザー): 他の, another(アナ́ザー): もう一つの",限定詞,初級
emergency,Emergency,緊急の,emergency の詳細な語源情報を追加してください。,,中級語彙,中級
employee,エンプロイ́イー,従業員,フランス語。派生: employ(エンプロ́イ): 雇う / unemployment(アンエンプロ́イメント): 失業,"worker(ワ́ーカー): 労働者, staff(スタ́フ): 職員",社会,初級
empty,Empty,空の,empty の詳細な語源情報を追加してください。,,中級語彙,中級
encourage,Encourage,励ます,encourage の詳細な語源情報を追加してください。,,中級語彙,中級
end,エン́ド,終わり・終える,"古英語 ""end""。派生: ending(エ́ンディング): 終わり / endless(エ́ンドレス): 終わりのない","finish(フィ́ニッシュ): 終える, begin(ビギ́ン): 始める",時間,初級
endangered,Endangered,[手動確認必要: endangered],endangered の語源情報が必要です。,,中級語彙,中級
ending,Ending,[手動確認必要: ending],ending の語源情報が必要です。,,中級語彙,中級
energy,Energy,エネルギー,energy の詳細な語源情報を追加してください。,,中級語彙,中級
engineer,エンジニ́ア,技師・工学者,"ラテン語 ""ingenium""(才能)。派生: engineering(エンジニ́アリング): 工学 / social engineer(ソーシャルエンジニ́ア): 社会工学","technician(テクニシ́ャン): 技術者, scientist(サイエ́ンティスト): 科学者",科学,初級
English,English,英語,english の詳細な語源情報を追加してください。,,中級語彙,中級
enjoy,エンジョ́イ,楽しむ,古仏語。派生: enjoyable(エンジョ́イアブル): 楽しい / enjoy oneself(エンジョ́イワンセルフ): 楽しむ,"like(ラ́イク): 好む, fun(フ́ァン): 楽しさ",感情,初級
enough,イナ́フ,十分な,"古英語 ""genōg""。派生: enough to〜(イナ́フトゥ): 〜するのに十分 / good enough(グッ́ドイナ́フ): まあ良い","sufficient(サフィ́シェント): 十分な, plenty(プレ́ンティ): たくさん",量,初級
enter,エ́ンター,入る・入力する,"ラテン語 ""intrare""。派生: entrance(エ́ントランス): 入口 / enter key(エ́ンターキー): エンターキー","come in(カ́ムイ́ン): 入る, input(イ́ンプット): 入力",手続き,初級
environment,インヴァ́イロメント,環境,"フランス語 ""environ""(周囲)。派生: environmental(インヴァイロンメ́ンタル): 環境の / environment-friendly(インヴァ́イロメントフレンドリー): 環境に優しい","nature(ネ́イチャー): 自然, pollution(ポル́ーション): 汚染",環境,初級
eraser,Eraser,erasする人,eraser の語源情報が必要です。,,名詞,中級
especially,エスペ́シャリ,特に,"ラテン語 ""species""(種類)。派生: especial(エスペ́シャル): 特別な / specialist(スペ́シャリスト): 専門家(同根)","particularly(パティ́キュラリ): 特に, mainly(メ́インリ): 主に",副詞,初級
establish,Establish,確立する,establish の詳細な語源情報を追加してください。,,中級語彙,中級
European,European,ヨーロッパの,european の詳細な語源情報を追加してください。,,中級語彙,中級
evacuation,Evacuation,evacuationすること,evacuation の語源情報が必要です。,,名詞,中級
even,Even,均等な,even の詳細な語源情報を追加してください。,,中級語彙,中級
evening,イ́ーヴニング,夕方・晩,"古英語 ""æfnung""(夕方になる)。派生: this evening(ジスイーヴニング): 今晩","morning(モーニング): 朝, afternoon(アフタヌーン): 午後, night(ナイト): 夜",名詞,初級
event,イヴェ́ント,出来事,"ラテン語 ""evenire""(外へ出る→起こる)。派生: eventual(イヴェンチュ́アル): 結果としての / eventually(イヴェンチュ́アリ): 結局は","happen(ハ́ペン): 起こる, occasion(オケ́イジョン): 場合",時間,初級
ever,エ́ヴァー,いつか・これまで,"古英語 ""æfre""。派生: forever(フォレ́ヴァー): 永遠に / ever since(エ́ヴァーシンス): それ以来ずっと","always(オ́ールウェイズ): いつも, never(ネ́ヴァー): 決して〜ない",時間,初級
every,エ́ヴリ,すべての,"古英語 ""ǣfre ǣlc"" の縮約。派生: everybody(エ́ヴリバディ): みんな / everything(エ́ヴリシング): すべてのこと","all(オ́ール): 全ての, each(イ́ーチ): 各々の",限定詞,初級
everybody,Everybody,皆,everybody の詳細な語源情報を追加してください。,,中級語彙,中級
everyone,Everyone,皆,everyone の詳細な語源情報を追加してください。,,中級語彙,中級
everything,Everything,すべて,everything の詳細な語源情報を追加してください。,,中級語彙,中級
everywhere,Everywhere,どこでも,everywhere の詳細な語源情報を追加してください。,,中級語彙,中級
exactly,Exactly,正確に,exactly の詳細な語源情報を追加してください。,,中級語彙,中級
exam,Exam,試験,exam の詳細な語源情報を追加してください。,,中級語彙,中級
example,イグザ́ンプル,例,"ラテン語 ""exemplum""。派生: exemplary(イグゼ́ンプロリ): 模範的な / exemplify(イグゼ́ンプリファイ): 例示する","case(ケ́イス): 事例, sample(サ́ンプル): 見本",学習,初級
excellent,エ́クセレント,優れた,"ラテン語 ""excellere""(突出する)。派生: excellence(エ́クセレンス): 優秀さ / excel(エクセ́ル): 優れる","great(グレ́イト): すばらしい, good(グッ́ド): 良い",評価,初級
exception,Exception,exceptionすること,exception の語源情報が必要です。,,名詞,中級
exchange,エクスチェ́インジ,交換する・為替,"ラテン語 ""cambiare""。派生: exchanger(エクスチェ́インジャー): 交換器 / foreign exchange(フォ́リンエクスチェ́インジ): 外国為替","trade(トレ́イド): 取引, swap(スワ́ップ): 交換する",経済,初級
excited,Excited,[手動確認必要: excited],excited の語源情報が必要です。,,中級語彙,中級
exciting,Exciting,興奮する,exciting の詳細な語源情報を追加してください。,,中級語彙,中級
excuse,Excuse,[手動確認必要: excuse],excuse の語源情報が必要です。,,中級語彙,中級
exercise,エ́クササイズ,運動・練習,"ラテン語 ""exercere""(鍛える)。派生: exercising(エ́クササイズィング): 運動すること / exercise book(エ́クササイズブック): 練習帳","practice(プラ́クティス): 練習, training(トレ́イニング): 訓練",スポーツ,初級
expensive,Expensive,高価な,expensive の詳細な語源情報を追加してください。,,中級語彙,中級
experience,イクスピ́アリアンス,経験,"ラテン語 ""experiri""(試す)。派生: experienced(イクスピ́アリエンスト): 経験豊かな / experiment(イクスペ́リメント): 実験(同根)","try(トラ́イ): 試みる, knowledge(ノ́リッジ): 知識",学習,初級
explain,イクスプレ́イン,説明する,"ラテン語 ""explanare""(平らにする→明らかにする)。派生: explanation(エクスプラネ́イション): 説明 / explanatory(イクスプラ́ナトリ): 説明的な","describe(ディスクライ́ブ): 描写する, clarify(クレ́リファイ): 明確にする",伝達,初級
express,Express,表現する,express の詳細な語源情報を追加してください。,,中級語彙,中級
expression,Expression,expressionすること,expression の語源情報が必要です。,,名詞,中級
eye,ア́イ,目,"古英語 ""eage""。派生: eyelid(ア́イリッド): まぶた / eyesight(ア́イサイト): 視力","see(シ́ー): 見る, look(ル́ック): 見る",人体,初級
face,フ́ェイス,顔・向く,"ラテン語 ""facies""。派生: facial(フ́ェイシャル): 顔の / surface(サ́ーフィス): 表面(同根)","head(ヘ́ッド): 頭, front(フロ́ント): 前面",人体,初級
fact,フ́ァクト,事実,"ラテン語 ""factum""(なされたこと)。派生: factual(フ́ァクチュアル): 事実に基づく / factor(フ́ァクター): 要因(同根)","truth(トゥル́ース): 真実, reality(リアリ́ティ): 現実",概念,初級
factory,Factory,[手動確認必要: factory],factory の語源情報が必要です。,,中級語彙,中級
fall,フ́ォール,落ちる・秋,"古英語 ""feallan""。派生: waterfall(ウォー́タフォール): 滝 / fall down(フ́ォールダ́ウン): 倒れる","drop(ドロ́ップ): 落とす, autumn(オ́ータム): 秋",時間,初級
family,フ́ァミリー,家族,"ラテン語 ""familia""。派生: familiar(ファミ́リア): よく知られた / familiarise(ファミ́リアライズ): 慣れさせる","relative(レ́ラティヴ): 親戚, home(ホ́ウム): 家",人間関係,初級
famous,フ́ェイマス,有名な,"ラテン語 ""fama""(評判)。派生: fame(フ́ェイム): 名声 / infamous(イ́ンフェイマス): 悪名高い","popular(ポ́ピュラー): 人気の, well-known(ウェ́ルノウン): 有名な",評価,初級
fan,Fan,[手動確認必要: fan],fan の語源情報が必要です。,,中級語彙,中級
fantastic,Fantastic,[手動確認必要: fantastic],fantastic の語源情報が必要です。,,中級語彙,中級
far,フ́ァー,遠い,"古英語 ""feor""。派生: farther(フ́ァーザー): より遠い / farthest(フ́ァーゼスト): 最も遠い","near(ニ́ア): 近い, distant(ディ́スタント): 遠い",位置,初級
farm,フ́ァーム,農場,"ラテン語 ""firma""(契約)→農地賃貸。派生: farmer(フ́ァーマー): 農家 / farming(フ́ァーミング): 農業","field(フィ́ールド): 畑, crop(ク́ロップ): 作物",社会,初級
farmer,Farmer,farmする人,farmer の語源情報が必要です。,,名詞,中級
fast,フ́ァスト,速い・断食する,"古英語 ""fæst""(堅い)とも関連。派生: fasten(フ́ァスン): 固定する / breakfast(ブ́レックファスト): 朝食(断食を破る)","quick(クイ́ック): 速い, rapid(ラ́ピド): 迅速な",評価,初級
fat,フ́ァット,太った・脂肪,"古英語 ""fǣtt""。派生: fatty(フ́ァティ): 脂っこい / fatten(フ́ァトゥン): 太らせる","thin(スィン): 痩せた, oil(オ́イル): 油",人体,初級
father,フ́ァーザー,父,"古英語 ""fæder""。派生: fatherly(フ́ァーザリ): 父親らしい / forefather(フ́ォーファーザー): 祖先","dad(ダ́ッド): お父さん, parent(ペ́アレント): 親",人間関係,初級
favorite,Favorite,お気に入りの,favorite の詳細な語源情報を追加してください。,,中級語彙,中級
feather,Feather,feathする人,feather の語源情報が必要です。,,名詞,中級
feature,Feature,特徴とする,feature の詳細な語源情報を追加してください。,,中級語彙,中級
February,February,[手動確認必要: february],February の語源情報が必要です。,,中級語彙,中級
fee,Fee,[手動確認必要: fee],fee の語源情報が必要です。,,中級語彙,中級
feed,Feed,食べ物を与える,feed の詳細な語源情報を追加してください。,,中級語彙,中級
feel,フ́ィール,感じる,"古英語 ""fēlan""。派生: feeling(フ́ィーリング): 感情 / feel like〜(フ́ィールライク): 〜したい気分","sense(セ́ンス): 感じる, touch(タ́ッチ): 触れる",感情,初級
feeling,Feeling,[手動確認必要: feeling],feeling の語源情報が必要です。,,中級語彙,中級
fence,Fence,[手動確認必要: fence],fence の語源情報が必要です。,,中級語彙,中級
festival,Festival,[手動確認必要: festival],festival の語源情報が必要です。,,中級語彙,中級
fever,Fever,fevする人,fever の語源情報が必要です。,,名詞,中級
few,フ́ュー,少しの,"古英語 ""fēawe""。派生: fewer(フ́ューア): より少ない / a few(アフ́ュー): いくつかの","little(リ́トル): 少しの, some(サ́ム): いくつか",量,初級
